;temperature;humidity;time
115;19.2;57;2022-05-02 06:07:14.928942
116;19.3;57;2022-05-02 06:08:39.723739
117;19.3;56;2022-05-02 06:12:40.819909
118;19.4;56;2022-05-02 06:14:42.018877
119;19.5;56;2022-05-02 06:23:47.103151
120;19.6;56;2022-05-02 06:29:43.281692
121;19.6;56;2022-05-02 06:32:13.069444
122;19.7;56;2022-05-02 06:43:31.482028
123;19.7;59;2022-05-02 06:44:56.478652
124;19.8;59;2022-05-02 06:49:27.965646
125;19.8;57;2022-05-02 06:58:00.792022
126;19.7;57;2022-05-02 07:07:23.062865
127;19.8;57;2022-05-02 07:08:49.800156
128;19.8;58;2022-05-02 07:08:49.808053
129;19.7;58;2022-05-02 07:12:13.488017
130;19.7;56;2022-05-02 07:14:38.929887
131;19.8;56;2022-05-02 07:15:05.197661
132;19.8;57;2022-05-02 07:20:20.600765
133;19.7;57;2022-05-02 07:20:59.919818
134;19.8;57;2022-05-02 07:25:31.483869
135;19.7;57;2022-05-02 07:27:57.338545
136;19.7;60;2022-05-02 07:27:57.345740
137;19.7;60;2022-05-02 07:30:18.003216
138;19.8;60;2022-05-02 07:31:00.549818
139;19.8;60;2022-05-02 07:31:31.635926
140;19.8;58;2022-05-02 07:32:36.877938
141;19.7;58;2022-05-02 07:33:00.235658
142;19.7;57;2022-05-02 07:34:20.808948
143;19.8;57;2022-05-02 07:34:38.318372
144;19.7;57;2022-05-02 07:36:06.993926
145;19.8;57;2022-05-02 07:37:39.464649
146;19.8;57;2022-05-02 07:37:39.469575
147;19.8;56;2022-05-02 07:38:37.423675
148;19.7;56;2022-05-02 07:39:38.364668
149;19.9;56;2022-05-02 07:39:58.521307
150;19.8;56;2022-05-02 07:43:07.294973
151;19.8;56;2022-05-02 07:44:04.444222
152;19.8;58;2022-05-02 07:46:44.792886
153;19.9;58;2022-05-02 07:47:55.813951
154;19.9;57;2022-05-02 07:48:09.581614
155;19.8;57;2022-05-02 07:52:38.852073
156;19.9;57;2022-05-02 07:53:37.430793
157;19.7;57;2022-05-02 08:01:52.473890
158;19.8;57;2022-05-02 08:03:38.055834
159;19.7;57;2022-05-02 08:08:19.214857
160;20.0;57;2022-05-02 08:08:52.494956
161;19.8;57;2022-05-02 08:09:38.471733
162;19.7;57;2022-05-02 08:10:53.937936
163;19.9;57;2022-05-02 08:12:20.054559
164;19.9;55;2022-05-02 08:12:20.083621
165;19.8;55;2022-05-02 08:12:28.351190
166;20.0;55;2022-05-02 08:13:14.741835
167;20.0;56;2022-05-02 08:16:14.178226
168;19.7;56;2022-05-02 08:16:52.547998
169;19.8;56;2022-05-02 08:18:23.069929
170;19.8;55;2022-05-02 08:20:44.108695
171;19.8;56;2022-05-02 08:22:41.225671
172;19.7;56;2022-05-02 08:22:56.585112
173;19.8;56;2022-05-02 08:24:19.632943
174;19.8;55;2022-05-02 08:25:47.915009
